,DWJZ,FSRQ,JZZZL,LJJZ
14,0.9240,2016-12-16,1.09,2.2910
15,0.9140,2016-12-15,-0.76,2.2810
16,0.9210,2016-12-14,-0.97,2.2880
17,0.9300,2016-12-13,0.65,2.2970
18,0.9240,2016-12-12,-2.53,2.2910
19,0.9480,2016-12-09,-0.32,2.3150
0,0.9510,2016-12-08,-0.31,2.3180
1,0.9540,2016-12-07,0.32,2.3210
2,0.9510,2016-12-06,0.21,2.3180
3,0.9490,2016-12-05,0.11,2.3160
4,0.9480,2016-12-02,-0.84,2.3150
5,0.9560,2016-12-01,0.31,2.3230
6,0.9530,2016-11-30,-1.04,2.3200
7,0.9630,2016-11-29,0.52,2.3300
8,0.9580,2016-11-28,0.21,2.3250
9,0.9560,2016-11-25,0.42,2.3230
10,0.9520,2016-11-24,-0.31,2.3190
11,0.9550,2016-11-23,-0.52,2.3220
12,0.9600,2016-11-22,0.73,2.3270
13,0.9530,2016-11-21,0.00,2.3200
14,0.9530,2016-11-18,-0.31,2.3200
15,0.9560,2016-11-17,-0.10,2.3230
16,0.9570,2016-11-16,0.00,2.3240
17,0.9570,2016-11-15,0.74,2.3240
18,0.9500,2016-11-14,-0.11,2.3170
19,0.9510,2016-11-11,-0.42,2.3180
0,0.9550,2016-11-10,0.42,2.3220
1,0.9510,2016-11-09,-0.63,2.3180
2,0.9570,2016-11-08,1.06,2.3240
3,0.9470,2016-11-07,-0.42,2.3140
4,0.9510,2016-11-04,-0.83,2.3180
5,0.9590,2016-11-03,-0.10,2.3260
6,0.9600,2016-11-02,-0.72,2.3270
7,0.9670,2016-11-01,1.04,2.3340
8,0.9570,2016-10-31,-0.10,2.3240
9,0.9580,2016-10-28,-0.10,2.3250
10,0.9590,2016-10-27,-0.31,2.3260
11,0.9620,2016-10-26,-0.21,2.3290
12,0.9640,2016-10-25,0.73,2.3310
13,0.9570,2016-10-24,0.63,2.3240
14,0.9510,2016-10-21,-0.63,2.3180
15,0.9570,2016-10-20,0.21,2.3240
16,0.9550,2016-10-19,-0.62,2.3220
17,0.9610,2016-10-18,0.52,2.3280
18,0.9560,2016-10-17,-0.52,2.3230
19,0.9610,2016-10-14,-0.72,2.3280
0,0.9680,2016-10-13,0.00,2.3350
1,0.9680,2016-10-12,0.10,2.3350
2,0.9670,2016-10-11,0.00,2.3340
3,0.9670,2016-10-10,1.26,2.3340
4,0.9550,2016-09-30,0.63,2.3220
5,0.9490,2016-09-29,0.53,2.3160
6,0.9440,2016-09-28,0.43,2.3110
7,0.9400,2016-09-27,0.86,2.3070
8,0.9320,2016-09-26,-0.85,2.2990
9,0.9400,2016-09-23,-0.32,2.3070
10,0.9430,2016-09-22,0.32,2.3100
11,0.9400,2016-09-21,0.21,2.3070
12,0.9380,2016-09-20,-0.21,2.3050
13,0.9400,2016-09-19,0.53,2.3070
14,0.9350,2016-09-14,-0.74,2.3020
15,0.9420,2016-09-13,0.53,2.3090
16,0.9370,2016-09-12,-1.68,2.3040
17,0.9530,2016-09-09,-0.73,2.3200
18,0.9600,2016-09-08,0.00,2.3270
19,0.9600,2016-09-07,-0.41,2.3270
0,0.9640,2016-09-06,1.05,2.3310
1,0.9540,2016-09-05,0.53,2.3210
2,0.9490,2016-09-02,-1.04,2.3160
3,0.9590,2016-09-01,-0.21,2.3260
4,0.9610,2016-08-31,-0.21,2.3280
5,0.9630,2016-08-30,-0.10,2.3300
6,0.9640,2016-08-29,0.21,2.3310
7,0.9620,2016-08-26,0.42,2.3290
8,0.9580,2016-08-25,-0.62,2.3250
9,0.9640,2016-08-24,0.00,2.3310
10,0.9640,2016-08-23,0.31,2.3310
11,0.9610,2016-08-22,0.10,2.3280
12,0.9600,2016-08-19,0.10,2.3270
13,0.9590,2016-08-18,-0.42,2.3260
14,0.9630,2016-08-17,0.00,2.3300
15,0.9630,2016-08-16,0.21,2.3300
16,0.9610,2016-08-15,1.26,2.3280
17,0.9490,2016-08-12,0.21,2.3160
18,0.9470,2016-08-11,-0.84,2.3140
19,0.9550,2016-08-10,-0.21,2.3220
0,0.9570,2016-08-09,0.84,2.3240
1,0.9490,2016-08-08,0.64,2.3160
2,0.9430,2016-08-05,0.00,2.3100
3,0.9430,2016-08-04,0.53,2.3100
4,0.9380,2016-08-03,0.21,2.3050
5,0.9360,2016-08-02,0.32,2.3030
6,0.9330,2016-08-01,-1.48,2.3000
7,0.9470,2016-07-29,0.21,2.3140
8,0.9450,2016-07-28,0.96,2.3120
9,0.9360,2016-07-27,-1.68,2.3030
10,0.9520,2016-07-26,1.28,2.3190
11,0.9400,2016-07-25,0.32,2.3070
12,0.9370,2016-07-22,-0.95,2.3040
13,0.9460,2016-07-21,0.21,2.3130
14,0.9440,2016-07-20,0.00,2.3110
15,0.9440,2016-07-19,-0.42,2.3110
16,0.9480,2016-07-18,-0.21,2.3150
17,0.9500,2016-07-15,0.42,2.3170
18,0.9460,2016-07-14,-0.11,2.3130
19,0.9470,2016-07-13,0.21,2.3140
0,0.9450,2016-07-12,1.39,2.3120
1,0.9320,2016-07-11,-0.43,2.2990
2,0.9360,2016-07-08,-0.21,2.3030
3,0.9380,2016-07-07,-0.21,2.3050
4,0.9400,2016-07-06,0.75,2.3070
5,0.9330,2016-07-05,0.21,2.3000
6,0.9310,2016-07-04,1.31,2.2980
7,0.9190,2016-07-01,0.11,2.2860
8,0.9180,2016-06-30,0.33,2.2850
9,0.9150,2016-06-29,0.55,2.2820
10,0.9100,2016-06-28,0.44,2.2770
11,0.9060,2016-06-27,1.57,2.2730
12,0.8920,2016-06-24,-0.67,2.2590
13,0.8980,2016-06-23,-0.44,2.2650
14,0.9020,2016-06-22,1.01,2.2690
15,0.8930,2016-06-21,-0.78,2.2600
16,0.9000,2016-06-20,0.56,2.2670
17,0.8950,2016-06-17,0.79,2.2620
18,0.8880,2016-06-16,-0.89,2.2550
19,0.8960,2016-06-15,2.52,2.2630
0,0.8740,2016-06-14,0.11,2.2410
1,0.8730,2016-06-13,-3.22,2.2400
2,0.9020,2016-06-08,-0.66,2.2690
3,0.9080,2016-06-07,0.00,2.2750
4,0.9080,2016-06-06,0.55,2.2750
5,0.9030,2016-06-03,1.23,2.2700
6,0.8920,2016-06-02,0.00,2.2590
7,0.8920,2016-06-01,0.11,2.2590
8,0.8910,2016-05-31,3.85,2.2580
9,0.8580,2016-05-30,-0.81,2.2250
10,0.8650,2016-05-27,0.12,2.2320
11,0.8640,2016-05-26,0.82,2.2310
12,0.8570,2016-05-25,-0.92,2.2240
13,0.8650,2016-05-24,-1.14,2.2320
14,0.8750,2016-05-23,1.27,2.2420
15,0.8640,2016-05-20,0.93,2.2310
16,0.8560,2016-05-19,0.35,2.2230
17,0.8530,2016-05-18,-2.51,2.2200
18,0.8750,2016-05-17,-0.68,2.2420
19,0.8810,2016-05-16,1.97,2.2480
0,0.8640,2016-05-13,-0.35,2.2310
1,0.8670,2016-05-12,0.00,2.2340
2,0.8670,2016-05-11,0.70,2.2340
3,0.8610,2016-05-10,0.47,2.2280
4,0.8570,2016-05-09,-2.17,2.2240
5,0.8760,2016-05-06,-2.67,2.2430
6,0.9000,2016-05-05,0.00,2.2670
7,0.9000,2016-05-04,0.00,2.2670
8,0.9000,2016-05-03,3.57,2.2670
9,0.8690,2016-04-29,0.00,2.2360
10,0.8690,2016-04-28,0.23,2.2360
11,0.8670,2016-04-27,0.12,2.2340
12,0.8660,2016-04-26,0.46,2.2330
13,0.8620,2016-04-25,-0.46,2.2290
14,0.8660,2016-04-22,1.64,2.2330
15,0.8520,2016-04-21,-1.27,2.2190
16,0.8630,2016-04-20,-4.00,2.2300
17,0.8990,2016-04-19,0.90,2.2660
18,0.8910,2016-04-18,-1.00,2.2580
19,0.9000,2016-04-15,-0.22,2.2670
0,0.9020,2016-04-14,0.67,2.2690
1,0.8960,2016-04-13,0.67,2.2630
2,0.8900,2016-04-12,-0.56,2.2570
3,0.8950,2016-04-11,2.40,2.2620
4,0.8740,2016-04-08,-0.79,2.2410
5,0.8810,2016-04-07,-1.89,2.2480
6,0.8980,2016-04-06,0.45,2.2650
7,0.8940,2016-04-05,2.41,2.2610
8,0.8730,2016-04-01,-0.68,2.2400
9,0.8790,2016-03-31,0.57,2.2460
10,0.8740,2016-03-30,3.68,2.2410
11,0.8430,2016-03-29,-2.20,2.2100
12,0.8620,2016-03-28,-0.35,2.2290
13,0.8650,2016-03-25,0.35,2.2320
14,0.8620,2016-03-24,-1.03,2.2290
15,0.8710,2016-03-23,0.69,2.2380
16,0.8650,2016-03-22,0.35,2.2320
17,0.8620,2016-03-21,1.65,2.2290
18,0.8480,2016-03-18,3.04,2.2150
19,0.8230,2016-03-17,3.39,2.1900
0,0.7960,2016-03-16,-0.87,2.1630
1,0.8030,2016-03-15,-0.74,2.1700
2,0.8090,2016-03-14,3.45,2.1760
3,0.7820,2016-03-11,0.13,2.1490
4,0.7810,2016-03-10,-1.14,2.1480
5,0.7900,2016-03-09,-1.62,2.1570
6,0.8030,2016-03-08,0.75,2.1700
7,0.7970,2016-03-07,2.05,2.1640
8,0.7810,2016-03-04,-2.50,2.1480
9,0.8010,2016-03-03,0.00,2.1680
10,0.8010,2016-03-02,4.43,2.1680
11,0.7670,2016-03-01,1.99,2.1340
12,0.7520,2016-02-29,-5.05,2.1190
13,0.7920,2016-02-26,0.89,2.1590
14,0.7850,2016-02-25,-6.99,2.1520
15,0.8440,2016-02-24,-0.71,2.2110
16,0.8500,2016-02-23,-0.47,2.2170
17,0.8540,2016-02-22,1.67,2.2210
18,0.8400,2016-02-19,0.48,2.2070
19,0.8360,2016-02-18,-0.24,2.2030
0,0.8380,2016-02-17,0.84,2.2050
1,0.8310,2016-02-16,4.92,2.1980
2,0.7920,2016-02-15,-0.63,2.1590
3,0.7970,2016-02-05,-0.87,2.1640
4,0.8040,2016-02-04,1.39,2.1710
5,0.7930,2016-02-03,0.25,2.1600
6,0.7910,2016-02-02,3.67,2.1580
7,0.7630,2016-02-01,0.26,2.1300
8,0.7610,2016-01-29,4.25,2.1280
9,0.7300,2016-01-28,-3.69,2.0970
10,0.7580,2016-01-27,-1.04,2.1250
11,0.7660,2016-01-26,-7.15,2.1330
12,0.8250,2016-01-25,1.23,2.1920
13,0.8150,2016-01-22,0.99,2.1820
14,0.8070,2016-01-21,-3.90,2.1740
15,0.8470,2016-01-20,-1.40,2.2070
16,0.8590,2016-01-19,3.49,2.2190
17,0.8300,2016-01-18,1.22,2.1900
18,0.8200,2016-01-15,-2.61,2.1800
19,0.8420,2016-01-14,3.06,2.2020
0,0.8170,2016-01-13,-3.08,2.1770
1,0.8430,2016-01-12,0.00,2.2030
2,0.8430,2016-01-11,-6.23,2.2030
3,0.8990,2016-01-08,1.35,2.2590
4,0.8870,2016-01-07,-7.31,2.2470
5,0.9570,2016-01-06,2.13,2.3170
6,0.9370,2016-01-05,-0.53,2.2970
7,0.9420,2016-01-04,-7.10,2.3020
8,1.0140,2015-12-31,-1.36,2.3740
9,1.0280,2015-12-30,0.19,2.3880
10,1.0260,2015-12-29,0.98,2.3860
11,1.0160,2015-12-28,-1.07,2.3760
12,1.0270,2015-12-25,0.10,2.3870
13,1.0260,2015-12-24,-0.10,2.3860
14,1.0270,2015-12-23,-0.58,2.3870
15,1.0330,2015-12-22,0.49,2.3930
16,1.0280,2015-12-21,1.78,2.3880
17,1.0100,2015-12-18,-0.49,2.3700
18,1.0150,2015-12-17,2.01,2.3750
19,0.9950,2015-12-16,0.51,2.3550
0,0.9900,2015-12-15,0.71,2.3500
1,0.9830,2015-12-14,1.03,2.3430
2,0.9730,2015-12-11,-0.61,2.3330
3,0.9790,2015-12-10,-0.10,2.3390
4,0.9800,2015-12-09,-0.61,2.3400
5,0.9860,2015-12-08,-1.10,2.3460
6,0.9970,2015-12-07,0.81,2.3570
7,0.9890,2015-12-04,-0.60,2.3490
8,0.9950,2015-12-03,1.63,2.3550
9,0.9790,2015-12-02,-0.20,2.3390
10,0.9810,2015-12-01,0.10,2.3410
11,0.9800,2015-11-30,0.41,2.3400
12,0.9760,2015-11-27,-4.13,2.3360
13,1.0180,2015-11-26,-0.88,2.3780
14,1.0270,2015-11-25,1.48,2.3870
15,1.0120,2015-11-24,0.20,2.3720
16,1.0100,2015-11-23,-0.69,2.3700
17,1.0170,2015-11-20,0.20,2.3770
18,1.0150,2015-11-19,1.20,2.3750
19,1.0030,2015-11-18,-0.89,2.3630
0,1.0120,2015-11-17,-0.98,2.3720
1,1.0220,2015-11-16,1.29,2.3820
2,1.0090,2015-11-13,-1.94,2.3690
3,1.0290,2015-11-12,-0.48,2.3890
4,1.0340,2015-11-11,0.68,2.3940
5,1.0270,2015-11-10,0.29,2.3870
6,1.0240,2015-11-09,0.89,2.3840
7,1.0150,2015-11-06,1.50,2.3750
8,1.0000,2015-11-05,-0.79,2.3600
9,1.0080,2015-11-04,3.92,2.3680
10,0.9700,2015-11-03,-0.10,2.3300
11,0.9710,2015-11-02,-0.82,2.3310
12,0.9790,2015-10-30,0.00,2.3390
13,0.9790,2015-10-29,0.62,2.3390
14,0.9730,2015-10-28,-1.52,2.3330
15,0.9880,2015-10-27,0.10,2.3480
16,0.9870,2015-10-26,1.33,2.3470
17,0.9740,2015-10-23,1.67,2.3340
18,0.9580,2015-10-22,2.57,2.3180
19,0.9340,2015-10-21,-4.40,2.2940
0,0.9770,2015-10-20,1.98,2.3370
1,0.9580,2015-10-19,-1.03,2.3180
2,0.9680,2015-10-16,0.21,2.3280
3,0.9660,2015-10-15,2.33,2.3260
4,0.9440,2015-10-14,-0.94,2.3040
5,0.9530,2015-10-13,0.74,2.3130
6,0.9460,2015-10-12,3.16,2.3060
7,0.9170,2015-10-09,1.55,2.2770
8,0.9030,2015-10-08,4.03,2.2630
9,0.8680,2015-09-30,0.81,2.2280
10,0.8610,2015-09-29,-0.92,2.2210
11,0.8690,2015-09-28,1.76,2.2290
12,0.8540,2015-09-25,-3.06,2.2140
13,0.8810,2015-09-24,1.15,2.2410
14,0.8710,2015-09-23,-1.02,2.2310
15,0.8800,2015-09-22,0.57,2.2400
16,0.8750,2015-09-21,3.67,2.2350
17,0.8440,2015-09-18,0.96,2.2040
18,0.8360,2015-09-17,0.00,2.1960
19,0.8360,2015-09-16,6.36,2.1960
0,0.7860,2015-09-15,-2.84,2.1460
1,0.8090,2015-09-14,-5.71,2.1690
2,0.8580,2015-09-11,0.59,2.2180
3,0.8530,2015-09-10,-1.50,2.2130
4,0.8660,2015-09-09,3.34,2.2260
5,0.8380,2015-09-08,4.23,2.1980
6,0.8040,2015-09-07,0.37,2.1640
7,0.8010,2015-09-02,-1.35,2.1610
8,0.8120,2015-09-01,-5.25,2.1720
9,0.8570,2015-08-31,-3.05,2.2170
10,0.8840,2015-08-28,5.36,2.2440
11,0.8390,2015-08-27,4.09,2.1990
12,0.8060,2015-08-26,-2.07,2.1660
13,0.8230,2015-08-25,-6.16,2.1830
14,0.8770,2015-08-24,-7.00,2.2370
15,0.9430,2015-08-21,-4.55,2.3030
16,0.9880,2015-08-20,-2.76,2.3480
17,1.0160,2015-08-19,2.21,2.3760
18,0.9940,2015-08-18,-5.87,2.3540
19,1.0560,2015-08-17,0.76,2.4160
0,1.0480,2015-08-14,-0.29,2.4080
1,1.0510,2015-08-13,1.45,2.4110
2,1.0360,2015-08-12,-2.08,2.3960
3,1.0580,2015-08-11,0.28,2.4180
4,1.0550,2015-08-10,5.82,2.4150
5,0.9970,2015-08-07,3.64,2.3570
6,0.9620,2015-08-06,0.00,2.3220
7,0.9620,2015-08-05,-0.10,2.3220
8,0.9630,2015-08-04,6.53,2.3230
9,0.9040,2015-08-03,-5.14,2.2640
10,0.9530,2015-07-31,-0.42,2.3130
11,0.9570,2015-07-30,-2.74,2.3170
12,0.9840,2015-07-29,4.90,2.3440
13,0.9380,2015-07-28,-1.99,2.2980
14,0.9570,2015-07-27,-8.16,2.3170
15,1.0420,2015-07-24,-2.43,2.4020
16,1.0680,2015-07-23,3.19,2.4280
17,1.0350,2015-07-22,0.68,2.3950
18,1.0280,2015-07-21,1.18,2.3880
19,1.0160,2015-07-20,2.42,2.3760
0,0.9920,2015-07-17,6.10,2.3520
1,0.9350,2015-07-16,3.31,2.2950
2,0.9050,2015-07-15,-5.93,2.2650
3,0.9620,2015-07-14,0.73,2.3220
4,0.9550,2015-07-13,7.18,2.3150
5,0.8910,2015-07-10,6.83,2.2510
6,0.8340,2015-07-09,6.51,2.1940
7,0.7830,2015-07-08,-3.81,2.1430
8,0.8140,2015-07-07,-6.76,2.1740
9,0.8730,2015-07-06,-3.32,2.2330
10,0.9030,2015-07-03,-4.55,2.2630
11,0.9460,2015-07-02,-5.96,2.3060
12,1.0060,2015-07-01,-4.46,2.3660
13,1.0530,2015-06-30,4.67,2.4130
14,1.0060,2015-06-29,-7.11,2.3660
15,1.0830,2015-06-26,-8.99,2.4430
16,1.1900,2015-06-25,-5.18,2.5500
17,1.2550,2015-06-24,1.70,2.6150
18,1.2340,2015-06-23,2.07,2.5940
19,1.2090,2015-06-19,-5.18,2.5690
0,1.2750,2015-06-18,-4.28,2.6350
1,1.3320,2015-06-17,2.07,2.6920
2,1.3050,2015-06-16,-3.26,2.6650
3,1.3490,2015-06-15,-2.95,2.7090
4,1.3900,2015-06-12,0.36,2.7500
5,1.3850,2015-06-11,1.47,2.7450
6,1.3650,2015-06-10,2.86,2.7250
7,1.3270,2015-06-09,0.23,2.6870
8,1.3240,2015-06-08,-3.22,2.6840
9,1.3680,2015-06-05,0.51,2.7280
10,1.3610,2015-06-04,-1.59,2.7210
11,1.3830,2015-06-03,-0.43,2.7430
12,1.3890,2015-06-02,3.81,2.7490
13,1.3380,2015-06-01,5.52,2.6980
14,1.2680,2015-05-29,1.52,2.6280
15,1.2490,2015-05-28,-5.16,2.6090
16,1.3170,2015-05-27,1.31,2.6770
17,1.3000,2015-05-26,3.09,2.6600
18,1.2610,2015-05-25,1.94,2.6210
19,1.2370,2015-05-22,1.14,2.5970
0,1.2230,2015-05-21,3.38,2.5830
1,1.1830,2015-05-20,1.11,2.5430
2,1.1700,2015-05-19,2.18,2.5300
3,1.1450,2015-05-18,1.33,2.5050
4,1.1300,2015-05-15,-0.62,2.4900
5,1.1370,2015-05-14,-1.04,2.4970
6,1.1490,2015-05-13,0.44,2.5090
7,1.1440,2015-05-12,2.97,2.5040
8,1.1110,2015-05-11,4.71,2.4710
9,1.0610,2015-05-08,3.92,2.4210
10,1.0210,2015-05-07,-1.92,2.3810
11,1.0410,2015-05-06,0.19,2.4010
12,1.0390,2015-05-05,-2.26,2.3990
13,1.0630,2015-05-04,1.72,2.4230
14,1.0450,2015-04-30,0.58,2.4050
15,1.0390,2015-04-29,2.67,2.3990
16,1.0120,2015-04-28,-3.34,2.3720
17,1.0470,2015-04-27,-0.10,2.4070
18,1.0480,2015-04-24,0.00,2.4080
19,1.0480,2015-04-23,0.00,2.4080
0,1.0480,2015-04-22,1.85,2.4080
1,1.0290,2015-04-21,2.80,2.3890
2,1.0010,2015-04-20,-2.34,2.3610
3,1.0250,2015-04-17,1.28,2.3850
4,1.0120,2015-04-16,0.90,2.3720
5,1.0030,2015-04-15,-3.28,2.3630
6,1.0370,2015-04-14,-0.48,2.3970
7,1.0420,2015-04-13,0.39,2.4020
8,1.0380,2015-04-10,2.06,2.3980
9,1.0170,2015-04-09,-1.36,2.3770
10,1.0310,2015-04-08,-1.25,2.3910
11,1.0440,2015-04-07,2.05,2.4040
12,1.0230,2015-04-03,1.59,2.3830
13,1.0070,2015-04-02,0.70,2.3670
14,1.0000,2015-04-01,1.63,2.3600
15,0.9840,2015-03-31,0.10,2.3440
16,0.9830,2015-03-30,2.08,2.3430
17,0.9630,2015-03-27,1.90,2.3230
18,0.9450,2015-03-26,-0.42,2.3050
19,0.9490,2015-03-25,0.85,2.3090
0,0.9410,2015-03-24,1.07,2.3010
1,0.9310,2015-03-23,2.87,2.2910
2,0.9050,2015-03-20,2.61,2.2650
3,0.8820,2015-03-19,-1.01,2.2420
4,0.8910,2015-03-18,1.83,2.2510
5,0.8750,2015-03-17,0.23,2.2350
6,0.8730,2015-03-16,2.83,2.2330
7,0.8490,2015-03-13,1.07,2.2090
8,0.8400,2015-03-12,2.07,2.2000
9,0.8230,2015-03-11,0.00,2.1830
10,0.8230,2015-03-10,0.24,2.1830
11,0.8210,2015-03-09,1.48,2.1810
12,0.8090,2015-03-06,-2.18,2.1690
13,0.8270,2015-03-05,-0.60,2.1870
14,0.8320,2015-03-04,0.60,2.1920
15,0.8270,2015-03-03,-2.25,2.1870
16,0.8460,2015-03-02,1.44,2.2060
17,0.8340,2015-02-27,1.21,2.1940
18,0.8240,2015-02-26,1.10,2.1840
19,0.8150,2015-02-25,-1.45,2.1750
0,0.8270,2015-02-17,0.73,2.1870
1,0.8210,2015-02-16,1.48,2.1810
2,0.8090,2015-02-13,1.38,2.1690
3,0.7980,2015-02-12,0.38,2.1580
4,0.7950,2015-02-11,1.53,2.1550
5,0.7830,2015-02-10,1.69,2.1430
6,0.7700,2015-02-09,0.13,2.1300
7,0.7690,2015-02-06,-1.03,2.1290
8,0.7770,2015-02-05,-1.02,2.1370
9,0.7850,2015-02-04,-1.01,2.1450
10,0.7930,2015-02-03,2.72,2.1530
11,0.7720,2015-02-02,-1.53,2.1320
12,0.7840,2015-01-30,-1.01,2.1440
13,0.7920,2015-01-29,-0.88,2.1520
14,0.7990,2015-01-28,-1.24,2.1590
15,0.8090,2015-01-27,-1.10,2.1690
16,0.8180,2015-01-26,0.49,2.1780
17,0.8140,2015-01-23,0.12,2.1740
18,0.8130,2015-01-22,0.99,2.1730
19,0.8050,2015-01-21,4.27,2.1650
0,0.7720,2015-01-20,1.85,2.1320
1,0.7580,2015-01-19,-4.29,2.1180
2,0.7920,2015-01-16,0.76,2.1520
3,0.7860,2015-01-15,2.88,2.1460
4,0.7640,2015-01-14,-0.39,2.1240
5,0.7670,2015-01-13,0.66,2.1270
6,0.7620,2015-01-12,0.00,2.1220
7,0.7620,2015-01-09,0.66,2.1220
8,0.7570,2015-01-08,-1.82,2.1170
9,0.7710,2015-01-07,-0.26,2.1310
10,0.7730,2015-01-06,-0.26,2.1330
11,0.7750,2015-01-05,1.97,2.1350
12,0.7600,2014-12-31,2.98,2.1200
13,0.7380,2014-12-30,-0.40,2.0980
14,0.7410,2014-12-29,1.09,2.1010
15,0.7330,2014-12-26,2.66,2.0930
16,0.7140,2014-12-25,2.00,2.0740
17,0.7000,2014-12-24,-1.41,2.0600
18,0.7100,2014-12-23,-0.42,2.0700
19,0.7130,2014-12-22,-0.70,2.0730
0,0.7180,2014-12-19,-2.18,2.0780
1,0.7340,2014-12-18,-0.41,2.0940
2,0.7370,2014-12-17,0.27,2.0970
3,0.7350,2014-12-16,1.24,2.0950
4,0.7260,2014-12-15,0.55,2.0860
5,0.7220,2014-12-12,0.28,2.0820
6,0.7200,2014-12-11,-0.41,2.0800
7,0.7230,2014-12-10,3.43,2.0830
8,0.6990,2014-12-09,-5.67,2.0590
9,0.7410,2014-12-08,0.27,2.1010
10,0.7390,2014-12-05,-2.12,2.0990
11,0.7550,2014-12-04,1.21,2.1150
12,0.7460,2014-12-03,1.08,2.1060
13,0.7380,2014-12-02,0.96,2.0980
14,0.7310,2014-12-01,-1.88,2.0910
15,0.7450,2014-11-28,-0.93,2.1050
16,0.7520,2014-11-27,0.40,2.1120
17,0.7490,2014-11-26,0.40,2.1090
18,0.7460,2014-11-25,1.22,2.1060
19,0.7370,2014-11-24,0.68,2.0970
0,0.7320,2014-11-21,0.55,2.0920
1,0.7280,2014-11-20,-0.14,2.0880
2,0.7290,2014-11-19,0.69,2.0890
3,0.7240,2014-11-18,0.28,2.0840
4,0.7220,2014-11-17,1.12,2.0820
5,0.7140,2014-11-14,0.00,2.0740
6,0.7140,2014-11-13,-1.65,2.0740
7,0.7260,2014-11-12,1.11,2.0860
8,0.7180,2014-11-11,-3.23,2.0780
9,0.7420,2014-11-10,0.00,2.1020
10,0.7420,2014-11-07,-1.20,2.1020
11,0.7510,2014-11-06,0.94,2.1110
12,0.7440,2014-11-05,-0.40,2.1040
13,0.7470,2014-11-04,-0.80,2.1070
14,0.7530,2014-11-03,0.67,2.1130
15,0.7480,2014-10-31,-0.53,2.1080
16,0.7520,2014-10-30,-0.27,2.1120
17,0.7540,2014-10-29,0.94,2.1140
18,0.7470,2014-10-28,1.91,2.1070
19,0.7330,2014-10-27,0.83,2.0930
0,0.7270,2014-10-24,0.14,2.0870
1,0.7260,2014-10-23,-0.96,2.0860
2,0.7330,2014-10-22,-1.08,2.0930
3,0.7410,2014-10-21,-0.54,2.1010
4,0.7450,2014-10-20,1.36,2.1050
5,0.7350,2014-10-17,0.00,2.0950
6,0.7350,2014-10-16,-1.47,2.0950
7,0.7460,2014-10-15,0.13,2.1060
8,0.7450,2014-10-14,-0.53,2.1050
9,0.7490,2014-10-13,-0.27,2.1090
10,0.7510,2014-10-10,-0.66,2.1110
11,0.7560,2014-10-09,-0.26,2.1160
12,0.7580,2014-10-08,0.93,2.1180
13,0.7510,2014-09-30,0.81,2.1110
14,0.7450,2014-09-29,0.81,2.1050
15,0.7390,2014-09-26,0.41,2.0990
16,0.7360,2014-09-25,0.27,2.0960
17,0.7340,2014-09-24,0.96,2.0940
18,0.7270,2014-09-23,0.69,2.0870
19,0.7220,2014-09-22,-0.96,2.0820
0,0.7290,2014-09-19,0.83,2.0890
1,0.7230,2014-09-18,0.42,2.0830
2,0.7200,2014-09-17,0.70,2.0800
3,0.7150,2014-09-16,-3.38,2.0750
4,0.7400,2014-09-15,0.96,2.1000
5,0.7330,2014-09-12,1.66,2.0930
6,0.7210,2014-09-11,0.14,2.0810
7,0.7200,2014-09-10,0.56,2.0800
8,0.7160,2014-09-09,0.28,2.0760
9,0.7140,2014-09-05,0.71,2.0740
10,0.7090,2014-09-04,0.57,2.0690
11,0.7050,2014-09-03,0.43,2.0650
12,0.7020,2014-09-02,1.15,2.0620
13,0.6940,2014-09-01,1.31,2.0540
14,0.6850,2014-08-29,0.88,2.0450
15,0.6790,2014-08-28,-0.59,2.0390
16,0.6830,2014-08-27,0.15,2.0430
17,0.6820,2014-08-26,-1.30,2.0420
18,0.6910,2014-08-25,-0.43,2.0510
19,0.6940,2014-08-22,0.58,2.0540
0,0.6900,2014-08-21,0.00,2.0500
1,0.6900,2014-08-20,-0.14,2.0500
2,0.6910,2014-08-19,-0.14,2.0510
3,0.6920,2014-08-18,0.44,2.0520
4,0.6890,2014-08-15,0.88,2.0490
5,0.6830,2014-08-14,-1.16,2.0430
6,0.6910,2014-08-13,-0.43,2.0510
7,0.6940,2014-08-12,-0.14,2.0540
8,0.6950,2014-08-11,1.76,2.0550
9,0.6830,2014-08-08,0.29,2.0430
10,0.6810,2014-08-07,-1.16,2.0410
11,0.6890,2014-08-06,0.29,2.0490
12,0.6870,2014-08-05,0.15,2.0470
13,0.6860,2014-08-04,0.88,2.0460
14,0.6800,2014-08-01,-0.58,2.0400
15,0.6840,2014-07-31,0.89,2.0440
16,0.6780,2014-07-30,-0.29,2.0380
17,0.6800,2014-07-29,0.30,2.0400
18,0.6780,2014-07-28,1.19,2.0380
19,0.6700,2014-07-25,0.90,2.0300
0,0.6640,2014-07-24,-0.30,2.0240
1,0.6660,2014-07-23,-0.75,2.0260
2,0.6710,2014-07-22,1.21,2.0310
3,0.6630,2014-07-21,0.15,2.0230
4,0.6620,2014-07-18,-0.15,2.0220
5,0.6630,2014-07-17,-0.45,2.0230
6,0.6660,2014-07-16,-0.60,2.0260
7,0.6700,2014-07-15,-0.30,2.0300
8,0.6720,2014-07-14,1.20,2.0320
9,0.6640,2014-07-11,0.45,2.0240
10,0.6610,2014-07-10,-0.30,2.0210
